id,hash,time,timezoneOffset,created,edited,isPublic,isTrack,distance,s,elapsedTime,elevationUp,elevationDown,elevationUpFile,elevationDownFile,altitudeSource,climbScore,percentageHilly,uphillEfficiency,downhillEfficiency,vam,kcal,pulseAvg,pulseMax,recoveryHr,maxHeartRateDropFrom,maxHeartRateDrop,vo2max,vo2maxByTime,vo2maxWithElevation,useVO2max,fitVO2maxEstimate,fitRecoveryTime,fitTrimp,fitHrvAnalysis,fitTrainingEffect,fitAnaerobicTrainingEffect,fitPerformanceCondition,fitPerformanceConditionEnd,fitFtp,fitSweatLoss,fitDeveloperSessionFields,rpe,subjectiveFeeling,trimp,cadence,gap,xPace,xGap,aerobicDecouplingPace,aerobicDecouplingPower,power,powerWithZero,airPower,isPowerCalculated,xPower,xPowerWithZero,wPrimeBalancePowerAvg,wPrimeBalancePowerMin,wPrimeBalancePaceAvg,wPrimeBalancePaceMin,staminaAvg,staminaMin,staminaPotentialAvg,staminaPotentialMin,requiredCriticalPower,requiredCriticalPace,requiredCriticalPaceVo2max,impactLoadFactorAvg,stepSpeedLossAvg,zoneDistributionPace,zoneDistributionHr,zoneDistributionPower,totalStrokes,swolf,wheelSize,poolLength,strideLength,groundcontact,groundcontactBalance,verticalOscillation,verticalRatio,avgImpactGsLeft,avgImpactGsRight,avgBrakingGsLeft,avgBrakingGsRight,avgFootstrikeTypeLeft,avgFootstrikeTypeRight,avgPronationExcursionLeft,avgPronationExcursionRight,avgLegSpringStiffness,avgFormPower,avgRespiratoryRate,avgLeftRightBalance,avgLeftTorqueEffectiveness,avgRightTorqueEffectiveness,avgLeftPedalSmoothness,avgRightPedalSmoothness,avgPlatformCenterOffsetLeft,avgPlatformCenterOffsetRight,avgLeftPowerPhaseStartAngle,avgLeftPowerPhaseEndAngle,avgLeftPowerPhasePeakStartAngle,avgLeftPowerPhasePeakEndAngle,avgRightPowerPhaseStartAngle,avgRightPowerPhaseEndAngle,avgRightPowerPhasePeakStartAngle,avgRightPowerPhasePeakEndAngle,cyclingTotalGrit,cyclingTotalGrit2,cyclingAvgFlow,jumps,percentageRiderPositionSeated,numGearChangeEvents,avgGearRatio,peakEpoc,peakEpocEstimate,temperature,windSpeed,windDeg,humidity,cloudCover,pressure,uvIndex,ozone,isNight,weatherid,weatherSource,routeName,hasTrackdata,isVirtual,splits,splitsCustom,title,partner,notes,creator,creatorDetails,deviceId,source,externalId,lock,sportid,typeid,unique_route_id,accountid,hrv_id,original_file,hrv_avgRR,hrv_rmssd,hrv_sdsd,hrv_sdnn,hrv_sdnn5min,hrv_pnn50,hrv_pnn20,hrv_percentageAnomalies,hrv_dfaA1Avg,hrv_dfaA1Min,hrv_dfaA1Max,hrv_dfaA1PAboveAet,hrv_dfaA1PBelowAnt,hrv_dfaA1PValid,hrv_dfaA1PArtifacts,hrv_estimatedAetPower,hrv_estimatedAetPowerFeasible,hrv_estimatedAetPace,hrv_estimatedAetPaceFeasible,hrv_estimatedAetHr,hrv_estimatedAetHrFeasible,race_officialDistance,race_officialTime,race_officialAscent,race_officialDescent,race_officiallyMeasured,race_name,race_placeTotal,race_placeGender,race_placeAgeclass,race_participantsTotal,race_participantsGender,race_participantsAgeclass,race_priorityLevel,race_status,race_accountid,race_activity_id,race_race_event_id,tags,climbs,equipmentIds
160836701,f0e2026f-06be-4a83-9d14-c4dc8f7fafb9,1767338963,-480,1767371719,,1,0,7.0,3182,3229,,,,,0,,,,,,454,162.0,179.0,153.0,179.0,26.0,31.65,23.73,31.65,1,47.48,1728.0,138.0,,3.7,0.0,,100.0,,667.0,,11.0,3.0,110,86.0,,8.22,,2.1,3.9,173.0,172.0,,0.0,173.0,172.0,,,,,,,,,171.0,2.17,22.43,,,"100,0,0,0,0,0,0,0,0","1,2,37,60,0","1,99,0,0,0",,,,,77.0,269.0,,77.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.1,,,,,,,,,,1,,,1,1,U1.609|12:19-U1.609|12:02-U1.609|11:45-U1.609|11:26-U0.795|5:30,,トレッドミル,,,4574,Garmin Forerunner 570,726.0,3,21421792854.0,0,1181996,1297494.0,,171191,,135667317.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160964924,73eb4b02-f85c-4e18-83d0-5cdb425947a1,1767425874,-480,1767459056,,1,0,8.05,3226,3284,,,,,0,,,,,,458,164.0,184.0,114.0,178.0,24.0,36.38,27.94,36.38,1,47.48,2160.0,156.0,,3.8,0.0,,100.0,,694.0,,17.0,3.0,115,87.0,,8.84,,9.9,7.7,180.0,177.0,,0.0,183.0,183.0,,,,,,,,,190.0,2.38,25.38,,,"59,37,4,0,0,0,0,0,0","0,4,32,57,6","5,79,16,0,0",,,,,86.0,259.0,,75.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,,,,,,,,1,,,1,1,U1.609|12:06-U0.286|2:07-U1.609|10:22-U1.609|10:17-U1.609|10:10-U0.031|0:11-U0.963|8:33,,トレッドミル,,,4574,Garmin Forerunner 570,726.0,3,21432436323.0,0,1181996,1297494.0,,171191,,135877764.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161114192,71ad5fd9-9edd-475c-b05f-2642f32e1f16,1767507195,-480,1767536439,,1,0,1.05,403,403,4.0,0.0,3.0,0.0,0,0.0,0.0,,,,62,170.0,184.0,,,,36.41,25.04,36.75,1,47.48,1222.0,33.0,,2.1,0.0,,100.0,,80.0,,,,16,86.0,9.46,9.37,9.48,5.6,5.3,198.0,195.0,,0.0,198.0,198.0,,,,,,,,,175.0,1.82,17.79,,,"25,72,3,0,0,0,0,0,0","0,6,8,66,21","1,75,23,0,0",,,,,91.0,260.0,,81.0,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.2,,,,,,,,,,1,,,1,0,,,トラックラン,,,4574,Garmin Forerunner 570,726.0,3,21441073403.0,0,1181996,1297494.0,,171191,,136047535.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161313393,f067f1e6-08be-4c14-af4c-646d38dd4cbd,1767592443,-480,1767624027,,1,0,5.79,2569,2621,,,,,0,,,,,,364,160.0,179.0,142.0,176.0,7.0,33.2,24.13,33.2,1,47.48,1454.0,127.0,,3.5,0.0,,100.0,,560.0,,9.0,3.0,87,85.0,,8.33,,5.1,7.5,177.0,174.0,,0.0,177.0,176.0,,,,,,,,,175.0,2.18,22.58,,,"100,0,0,0,0,0,0,0,0","3,5,28,64,0","2,98,0,0,0",,,,,80.0,270.0,,79.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.3,,,,,,,,,,1,,,1,1,U1.609|12:42-U1.609|11:33-U1.609|11:15-U1.050|7:19,,トレッドミル,,,4574,Garmin Forerunner 570,726.0,3,21450882442.0,0,1181996,1297494.0,,171191,,136245103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161532321,f00dad14-0ee0-4024-bee9-1134d0278106,1767680041,-480,1767712297,,1,0,8.06,3298,3408,,,,,0,,,,,,496,170.0,188.0,,181.0,20.0,33.62,27.25,33.62,1,47.48,2304.0,189.0,,4.1,0.1,,100.0,,688.0,,17.0,3.0,133,87.0,,8.98,,8.0,7.6,183.0,182.0,,0.0,187.0,186.0,,,,,,,,,194.0,2.43,25.97,,,"63,13,24,0,0,0,0,0,0","0,4,19,54,23","4,66,30,0,0",,,,,84.0,260.0,,76.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,,,,,,,,,,1,,,1,1,U1.609|12:12-U0.043|0:18-U0.069|0:26-U0.229|1:33-U0.089|0:34-U0.236|1:46-U0.487|2:59-U0.150|1:02-U0.497|2:59-U0.146|1:03-U0.495|2:58-U0.143|1:01-U0.506|3:07-U0.121|0:51-U0.494|2:59-U0.141|1:01-U0.501|3:00-U0.144|1:00-U0.508|3:03-U1.413|11:06,,トレッドミル,,,4574,Garmin Forerunner 570,726.0,3,21462030306.0,0,1181996,1297494.0,,171191,,136475554.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161738735,4d3af3af-f1c4-4d0f-a437-d6641979744d,1767768042,-480,1767799894,,1,0,6.2,2768,2768,,,,,0,,,,,,406,164.0,178.0,146.0,177.0,8.0,31.8,24.05,31.8,1,47.48,2016.0,145.0,,3.7,0.0,,100.0,,575.0,,11.0,3.0,101,86.0,,8.43,,3.1,4.7,177.0,176.0,,0.0,177.0,177.0,,,,,,,,,175.0,2.21,22.94,,,"99,1,0,0,0,0,0,0,0","1,3,31,65,0","1,99,0,0,0",,,,,78.0,267.0,,77.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.3,,,,,,,,,,1,,,1,1,U1.609|12:03-U1.609|11:45-U1.609|11:06-U1.609|11:09-U0.015|0:06,,トレッドミル,,,4574,Garmin Forerunner 570,726.0,3,21472633085.0,0,1181996,1297494.0,,171191,,136684370.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161956846,6b609452-d485-4d6b-99f3-f0d5777e87bc,1767854948,-480,1767886202,,1,0,4.72,2384,2384,,,,,0,,,,,,282,149.0,169.0,,163.0,26.0,31.13,20.26,31.13,1,47.48,1222.0,80.0,,3.0,0.0,,100.0,,409.0,,9.0,2.0,66,80.0,,7.35,,14.3,9.7,146.0,145.0,,0.0,156.0,155.0,,,,,,,,,160.0,1.97,19.74,,,"100,0,0,0,0,0,0,0,0","1,25,43,31,0","20,80,0,0,0",,,,,74.0,274.0,,72.0,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.6,,,,,,,,,,1,,,1,1,U1.609|13:05-U1.609|12:24-U0.887|6:40-U0.556|7:35,,トレッドミル,,,4574,Garmin Forerunner 570,726.0,3,21482952617.0,0,1181996,1297494.0,,171191,,136898069.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162267705,c9e9f1ba-07ae-4e8d-a020-2235daa80bb3,1768035305,-480,1768069798,,1,0,13.74,5521,5619,109.0,109.0,118.0,119.0,0,0.2,0.24,1.04,1.0,,789,166.0,182.0,,178.0,14.0,35.63,29.04,35.98,1,47.38,2218.0,179.0,103.0,4.0,0.0,103.0,95.0,,849.0,,13.0,3.0,205,88.0,9.02,9.01,9.06,1.8,-1.7,198.0,197.0,,0.0,200.0,200.0,,,,,,,,,208.0,2.47,26.5,,,"60,37,3,0,0,0,0,0,0","0,2,12,86,0","1,60,39,0,0",,,,,85.0,261.0,,77.0,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.9,8.0,14.0,50.0,77.0,30.0,1033.0,1.0,,0.0,2,4.0,San Francisco,1,0,U1.609|11:08-U1.609|10:52-U1.609|10:44-U1.609|10:36-U1.609|10:43-U1.609|11:34-U1.609|10:28-U1.609|10:35-U0.865|5:22,,San Francisco ラン,,,4574,Garmin Forerunner 570,726.0,3,21505051070.0,0,1181996,1297494.0,7708308.0,171191,,137210583.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162506158,0fc0ac29-e26c-4242-8aa2-6e55b63d138b,1768206792,-480,1768238611,,1,0,7.33,2892,2975,40.0,35.0,50.0,42.0,0,0.0,0.19,1.11,1.01,,412,162.0,181.0,,172.0,15.0,37.75,28.28,38.04,1,47.36,1406.0,130.0,102.0,3.4,0.4,102.0,98.0,,445.0,,11.0,3.0,102,88.0,9.19,9.18,9.25,2.9,5.0,199.0,198.0,,0.0,201.0,200.0,,,,,,,,,200.0,2.41,25.68,,,"57,26,13,3,1,0,0,0,0","1,5,24,70,0","1,64,34,1,0",,,,,86.0,258.0,,77.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.6,7.0,13.0,9.0,86.0,6.0,1027.0,1.0,,0.0,2,4.0,San Francisco,1,0,U1.609|10:56-U1.609|10:49-U1.609|10:41-U1.609|10:32-U0.639|3:43-U0.098|0:27-U0.040|0:26-U0.108|0:34-U0.010|0:05,,San Francisco ラン,,,4574,Garmin Forerunner 570,726.0,3,21524278421.0,0,1181996,1297494.0,7708100.0,171191,,137458180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162638001,042a72f3-a93b-4dca-aeb4-e7ebbcd6214f,1768291920,-480,1768324603,1768326830.0,1,0,10.01,3759,3789,35.0,35.0,55.0,52.0,0,0.0,0.1,1.03,0.95,,557,166.0,182.0,,180.0,23.0,38.75,30.7,38.92,1,47.9,2160.0,181.0,101.0,4.0,0.0,101.0,102.0,,613.0,,17.0,3.0,144,89.0,9.62,9.68,9.71,4.7,5.0,209.0,208.0,,0.0,211.0,210.0,,,,,,,,,216.0,2.6,28.29,,,"38,19,31,10,1,0,0,0,0","1,1,21,76,1","1,38,61,0,0",,,,,90.0,254.0,,78.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.8,8.0,14.0,54.0,81.0,6.0,1026.0,1.0,,0.0,2,4.0,San Francisco,1,0,W1.609|10:56-W0.837|5:33-I0.526|3:00-R0.113|0:45-I0.531|3:00-R0.113|0:45-I0.525|3:00-R0.097|0:45-I0.533|3:00-R0.105|0:45-I0.526|3:00-R0.097|0:45-I0.533|3:00-R0.095|0:45-I0.526|3:00-R0.097|0:45-I0.538|3:00-C1.609|10:39-C0.993|6:15,,"San Francisco - 8 x 3min, 45 recovery",,,4574,Garmin Forerunner 570,726.0,3,21535258938.0,0,1181996,1297496.0,7708481.0,171191,,137590321.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
